id,count,college graduate,some college,name,high school or less,party,postgraduate,state
53,,1,0,Ben Carson,2,R,0,IL
54,,36,43,Donald Trump,54,R,22,IL
55,1233,34,34,total,15,R,17,IL
56,,1,1,Other/No Answer,,D,1,IL
57,,44,49,Hillary Clinton,63,D,56,IL
58,,55,50,Bernie Sanders,37,D,43,IL
59,1521,32,32,total,15,D,21,IL
60,,2,3,Other/No Answer,,R,,MA
61,,18,15,Marco Rubio,,R,24,MA
62,,0,0,No Preference,,R,2,MA
63,,22,9,John Kasich,,R,28,MA
64,,9,9,Ted Cruz,,R,12,MA
65,,2,2,Ben Carson,,R,5,MA
66,,1,1,Jeb Bush,,R,1,MA
67,,46,61,Donald Trump,,R,29,MA
68,801,41,27,total,13,R,19,MA
69,,50,40,Hillary Clinton,43,D,58,MA
70,,1,0,No Preference,,D,1,MA
71,,49,60,Bernie Sanders,57,D,41,MA
72,1406,32,24,total,8,D,35,MA
73,,1,2,Other/No Answer,,R,1,MI
74,,11,5,Marco Rubio,8,R,18,MI
75,,26,20,John Kasich,16,R,37,MI
76,,3,2,Uncommitted,1,R,,MI
77,,27,26,Ted Cruz,23,R,19,MI
78,,2,1,Ben Carson,3,R,2,MI
79,,30,44,Donald Trump,49,R,23,MI
80,1341,31,36,total,17,R,16,MI
81,,,1,Other/No Answer,,D,1,MI
82,,41,43,Hillary Clinton,61,D,57,MI
83,,5,1,Uncommitted,2,D,0,MI
84,,54,55,Bernie Sanders,37,D,42,MI
85,1601,26,37,total,17,D,20,MI
86,,,1,Other/No Answer,,R,,MS
87,,7,4,Marco Rubio,4,R,8,MS
88,,8,7,John Kasich,4,R,16,MS
