id,democrats:count,republicans:count,count,republicans,party,independents:count,state,democrats,independents,name
39,0,277,354,34,R,77,IL,0,24,Ted Cruz
40,0,0,3,0,R,3,IL,0,1,Ben Carson
41,0,334,443,41,R,109,IL,0,34,Donald Trump
42,111,814,1233,66,R,321,IL,9,26,total
43,12,0,15,0,D,3,IL,1,1,Other/No Answer
44,667,0,763,0,D,96,IL,57,30,Hillary Clinton
45,492,0,712,0,D,220,IL,42,69,Bernie Sanders
46,1171,30,1521,2,D,319,IL,77,21,total
47,0,4,8,1,R,4,MA,0,1,Other/No Answer
48,0,66,133,18,R,67,MA,0,17,Marco Rubio
49,0,0,4,0,R,4,MA,0,1,No Preference
50,0,48,126,13,R,78,MA,0,20,John Kasich
51,0,44,75,12,R,31,MA,0,8,Ted Cruz
52,0,11,19,3,R,8,MA,0,2,Ben Carson
